id,title,contaminante,nivel,value,fecha,year
1020070628co,Centro,co,Buena,0.2,28-06-2007,2007
1020070715co,Centro,co,Buena,0.3,15-07-2007,2007
1020070807co,Centro,co,Buena,0.3,07-08-2007,2007
1020070219co,Centro,co,Buena,0.7,19-02-2007,2007
1020070226co,Centro,co,Buena,0.3,26-02-2007,2007
1020070309co,Centro,co,Buena,0.4,09-03-2007,2007
1020070312co,Centro,co,Buena,0.5,12-03-2007,2007
1020090222co,Centro,co,Buena,0.2,22-02-2009,2009
1020090419co,Centro,co,Buena,0.2,19-04-2009,2009
1020090618co,Centro,co,Buena,0.3,18-06-2009,2009
1020080827co,Centro,co,Buena,0.3,27-08-2008,2008
1020080711co,Centro,co,Buena,0.2,11-07-2008,2008
1020080719co,Centro,co,Buena,0.4,19-07-2008,2008
1020080803co,Centro,co,Buena,0.1,03-08-2008,2008
1020080810co,Centro,co,Buena,0.2,10-08-2008,2008
1020080908co,Centro,co,Buena,0.4,08-09-2008,2008
1020080909co,Centro,co,Buena,0.4,09-09-2008,2008
1020110117co,Centro,co,Buena,0.3,17-01-2011,2011
1020090716co,Centro,co,Buena,0.3,16-07-2009,2009
1020090218co,Centro,co,Buena,0.3,18-02-2009,2009
1020090406co,Centro,co,Buena,0.4,06-04-2009,2009
1020090415co,Centro,co,Buena,0.3,15-04-2009,2009
1020090429co,Centro,co,Buena,0.3,29-04-2009,2009
1020080917co,Centro,co,Buena,0.4,17-09-2008,2008
1020080611co,Centro,co,Buena,0.3,11-06-2008,2008
1020080311co,Centro,co,Buena,0.5,11-03-2008,2008
1020080625co,Centro,co,Buena,0.2,25-06-2008,2008
1020090602co,Centro,co,Buena,0.3,02-06-2009,2009
1020090623co,Centro,co,Buena,0.2,23-06-2009,2009
1020090624co,Centro,co,Buena,0.2,24-06-2009,2009
1020080220co,Centro,co,Buena,0.6,20-02-2008,2008
1020110222co,Centro,co,Buena,0.3,22-02-2011,2011
1020110310co,Centro,co,Buena,0.4,10-03-2011,2011
1020090714co,Centro,co,Buena,0.3,14-07-2009,2009
