id,title,contaminante,nivel,value,fecha,year
1020070303no2,Centro,no2,Buena,39,03-03-2007,2007
1020070514no2,Centro,no2,Buena,29,14-05-2007,2007
1020070518no2,Centro,no2,Buena,31,18-05-2007,2007
1020081004no2,Centro,no2,Buena,23,04-10-2008,2008
1020070228no2,Centro,no2,Razonablemente buena,56,28-02-2007,2007
1020070319no2,Centro,no2,Buena,32,19-03-2007,2007
1020071112no2,Centro,no2,Buena,35,12-11-2007,2007
1020070305no2,Centro,no2,Buena,36,05-03-2007,2007
1020070311no2,Centro,no2,Buena,31,11-03-2007,2007
1020070312no2,Centro,no2,Razonablemente buena,59,12-03-2007,2007
1020070317no2,Centro,no2,Buena,31,17-03-2007,2007
1020081222no2,Centro,no2,Buena,26,22-12-2008,2008
1020090222no2,Centro,no2,Buena,13,22-02-2009,2009
1020090410no2,Centro,no2,Buena,30,10-04-2009,2009
1020090419no2,Centro,no2,Buena,33,19-04-2009,2009
1020090425no2,Centro,no2,Buena,29,25-04-2009,2009
1020090616no2,Centro,no2,Buena,29,16-06-2009,2009
1020080829no2,Centro,no2,Buena,34,29-08-2008,2008
1020080718no2,Centro,no2,Buena,21,18-07-2008,2008
1020080802no2,Centro,no2,Buena,19,02-08-2008,2008
1020080812no2,Centro,no2,Buena,25,12-08-2008,2008
1020080908no2,Centro,no2,Buena,27,08-09-2008,2008
1020080913no2,Centro,no2,Buena,16,13-09-2008,2008
1020080914no2,Centro,no2,Buena,13,14-09-2008,2008
1020110117no2,Centro,no2,Buena,39,17-01-2011,2011
1020090527no2,Centro,no2,Buena,13,27-05-2009,2009
1020090429no2,Centro,no2,Razonablemente buena,48,29-04-2009,2009
1020080311no2,Centro,no2,Razonablemente buena,46,11-03-2008,2008
1020090615no2,Centro,no2,Buena,21,15-06-2009,2009
1020090617no2,Centro,no2,Buena,37,17-06-2009,2009
1020080402no2,Centro,no2,Buena,29,02-04-2008,2008
1020080423no2,Centro,no2,Buena,30,23-04-2008,2008
1020110220no2,Centro,no2,Buena,34,20-02-2011,2011
1020090714no2,Centro,no2,Buena,24,14-07-2009,2009
1020080321no2,Centro,no2,Buena,19,21-03-2008,2008
1020090408no2,Centro,no2,Buena,40,08-04-2009,2009
1020081223no2,Centro,no2,Buena,31,23-12-2008,2008
1020080228no2,Centro,no2,Razonablemente buena,44,28-02-2008,2008
1020061215no2,Centro,no2,Razonablemente buena,46,15-12-2006,2006
1020061207no2,Centro,no2,Razonablemente buena,53,07-12-2006,2006
1020061203no2,Centro,no2,Razonablemente buena,42,03-12-2006,2006
1020061120no2,Centro,no2,Razonablemente buena,51,20-11-2006,2006
1020080119no2,Centro,no2,Buena,38,19-01-2008,2008
1020080309no2,Centro,no2,Buena,37,09-03-2008,2008
1020080416no2,Centro,no2,Razonablemente buena,46,16-04-2008,2008
1020080526no2,Centro,no2,Buena,32,26-05-2008,2008
1020090713no2,Centro,no2,Buena,26,13-07-2009,2009
1020080216no2,Centro,no2,Razonablemente buena,48,16-02-2008,2008
1020080614no2,Centro,no2,Buena,22,14-06-2008,2008
1020110207no2,Centro,no2,Razonablemente buena,77,07-02-2011,2011
1020070831no2,Centro,no2,Buena,27,31-08-2007,2007
1020071231no2,Centro,no2,Buena,31,31-12-2007,2007
1020070710no2,Centro,no2,Buena,25,10-07-2007,2007
1020070829no2,Centro,no2,Razonablemente buena,43,29-08-2007,2007
1020070703no2,Centro,no2,Razonablemente buena,45,03-07-2007,2007
1020070917no2,Centro,no2,Razonablemente buena,46,17-09-2007,2007
1020071104no2,Centro,no2,Buena,30,04-11-2007,2007
1020101113no2,Centro,no2,Buena,38,13-11-2010,2010
1020101114no2,Centro,no2,Buena,32,14-11-2010,2010
1020090513no2,Centro,no2,Razonablemente buena,57,13-05-2009,2009
1020070426no2,Centro,no2,Razonablemente buena,47,26-04-2007,2007
1020070525no2,Centro,no2,Razonablemente buena,48,25-05-2007,2007
1020070610no2,Centro,no2,Buena,27,10-06-2007,2007
1020140730no2,Centro,no2,Buena,25,30-07-2014,2014
1020140828no2,Centro,no2,Buena,36,28-08-2014,2014
1020140311no2,Centro,no2,Razonablemente buena,55,11-03-2014,2014
1020130918no2,Centro,no2,Buena,26,18-09-2013,2013
1020131120no2,Centro,no2,Buena,33,20-11-2013,2013
1020140121no2,Centro,no2,Razonablemente buena,49,21-01-2014,2014
1020140125no2,Centro,no2,Buena,19,25-01-2014,2014
1020140630no2,Centro,no2,Buena,30,30-06-2014,2014
