id,title,contaminante,nivel,value,fecha,year
1020090531o3,Centro,o3,Razonablemente buena,83,31-05-2009,2009
1020090605o3,Centro,o3,Buena,48,05-06-2009,2009
1020070702o3,Centro,o3,Buena,39,02-07-2007,2007
1020070802o3,Centro,o3,Razonablemente buena,59,02-08-2007,2007
1020070830o3,Centro,o3,Razonablemente buena,70,30-08-2007,2007
1020080328o3,Centro,o3,Buena,38,28-03-2008,2008
1020080329o3,Centro,o3,Razonablemente buena,58,29-03-2008,2008
1020070104o3,Centro,o3,Buena,4,04-01-2007,2007
1020070102o3,Centro,o3,Buena,21,02-01-2007,2007
1020061229o3,Centro,o3,Buena,3,29-12-2006,2006
1020061202o3,Centro,o3,Buena,4,02-12-2006,2006
1020061125o3,Centro,o3,Buena,12,25-11-2006,2006
1020080227o3,Centro,o3,Buena,14,27-02-2008,2008
1020080309o3,Centro,o3,Buena,29,09-03-2008,2008
1020080312o3,Centro,o3,Buena,13,12-03-2008,2008
1020080704o3,Centro,o3,Razonablemente buena,58,04-07-2008,2008
1020090706o3,Centro,o3,Buena,17,06-07-2009,2009
1020080918o3,Centro,o3,Buena,37,18-09-2008,2008
1020080525o3,Centro,o3,Buena,41,25-05-2008,2008
1020080611o3,Centro,o3,Buena,40,11-06-2008,2008
1020080124o3,Centro,o3,Buena,2,24-01-2008,2008
1020080625o3,Centro,o3,Razonablemente buena,60,25-06-2008,2008
1020080609o3,Centro,o3,Razonablemente buena,55,09-06-2008,2008
1020110221o3,Centro,o3,Buena,17,21-02-2011,2011
1020110222o3,Centro,o3,Buena,32,22-02-2011,2011
1020080429o3,Centro,o3,Razonablemente buena,58,29-04-2008,2008
1020101215o3,Centro,o3,Buena,42,15-12-2010,2010
1020071026o3,Centro,o3,Buena,32,26-10-2007,2007
1020071111o3,Centro,o3,Buena,40,11-11-2007,2007
1020080702o3,Centro,o3,Razonablemente buena,57,02-07-2008,2008
1020080726o3,Centro,o3,Buena,45,26-07-2008,2008
1020080731o3,Centro,o3,Razonablemente buena,60,31-07-2008,2008
1020080804o3,Centro,o3,Razonablemente buena,56,04-08-2008,2008
1020080813o3,Centro,o3,Razonablemente buena,56,13-08-2008,2008
1020080229o3,Centro,o3,Buena,15,29-02-2008,2008
1020080301o3,Centro,o3,Buena,31,01-03-2008,2008
1020080314o3,Centro,o3,Buena,22,14-03-2008,2008
1020080513o3,Centro,o3,Buena,48,13-05-2008,2008
1020080308o3,Centro,o3,Razonablemente buena,61,08-03-2008,2008
1020080326o3,Centro,o3,Buena,39,26-03-2008,2008
1020080214o3,Centro,o3,Buena,31,14-02-2008,2008
1020070729o3,Centro,o3,Buena,45,29-07-2007,2007
1020071224o3,Centro,o3,Buena,4,24-12-2007,2007
1020090716o3,Centro,o3,Razonablemente buena,66,16-07-2009,2009
1020080222o3,Centro,o3,Buena,9,22-02-2008,2008
1020080303o3,Centro,o3,Buena,39,03-03-2008,2008
1020110208o3,Centro,o3,Buena,13,08-02-2011,2011
1020070901o3,Centro,o3,Razonablemente buena,65,01-09-2007,2007
1020070902o3,Centro,o3,Razonablemente buena,60,02-09-2007,2007
1020070915o3,Centro,o3,Razonablemente buena,60,15-09-2007,2007
1020071231o3,Centro,o3,Buena,28,31-12-2007,2007
1020070612o3,Centro,o3,Buena,41,12-06-2007,2007
1020070922o3,Centro,o3,Buena,23,22-09-2007,2007
1020070616o3,Centro,o3,Buena,27,16-06-2007,2007
1020070820o3,Centro,o3,Razonablemente buena,57,20-08-2007,2007
1020101017o3,Centro,o3,Razonablemente buena,55,17-10-2010,2010
1020090522o3,Centro,o3,Buena,47,22-05-2009,2009
1020071108o3,Centro,o3,Buena,23,08-11-2007,2007
1020070602o3,Centro,o3,Buena,50,02-06-2007,2007
1020090407o3,Centro,o3,Razonablemente buena,56,07-04-2009,2009
1020141105o3,Centro,o3,Buena,46,05-11-2014,2014
1020140309o3,Centro,o3,Razonablemente buena,64,09-03-2014,2014
1020141205o3,Centro,o3,Buena,23,05-12-2014,2014
1020140218o3,Centro,o3,Buena,23,18-02-2014,2014
1020140125o3,Centro,o3,Buena,49,25-01-2014,2014
1020140801o3,Centro,o3,Buena,50,01-08-2014,2014
1020140521o3,Centro,o3,Razonablemente buena,65,21-05-2014,2014
1020140904o3,Centro,o3,Buena,48,04-09-2014,2014
1020140815o3,Centro,o3,Razonablemente buena,59,15-08-2014,2014
1020131124o3,Centro,o3,Buena,50,24-11-2013,2013
1020140928o3,Centro,o3,Buena,49,28-09-2014,2014
1020150122o3,Centro,o3,Buena,33,22-01-2015,2015
1020140120o3,Centro,o3,Buena,14,20-01-2014,2014
1020140824o3,Centro,o3,Buena,50,24-08-2014,2014
1020130826o3,Centro,o3,Razonablemente buena,59,26-08-2013,2013
1020140217o3,Centro,o3,Buena,21,17-02-2014,2014
1020220804o3,Centro,o3,Razonablemente buena,84.8,04-08-2022,2022
