id,title,contaminante,nivel,value,fecha,year
220230224nox,Roger de Flor,nox,"",20.1,24-02-2023,2023
720230224no2,Jaime Ferran,no2,Buena,27.5,24-02-2023,2023
720230224sh2,Jaime Ferran,sh2,Buena,1.7,24-02-2023,2023
820230224so2,Renovales,so2,Buena,9.6,24-02-2023,2023
820230224co,Renovales,co,Buena,0.2,24-02-2023,2023
820230224o3,Renovales,o3,Buena,49.9,24-02-2023,2023
920230224so2,Las Fuentes,so2,Buena,4.9,24-02-2023,2023
920230224o3,Las Fuentes,o3,Buena,47.8,24-02-2023,2023
1020230224no,Centro,no,"",48.3,24-02-2023,2023
1220230224nox,Actur,nox,"",12.1,24-02-2023,2023
1120230320pm10,Avda. Soria,pm10,Razonablemente buena,21.8,20-03-2023,2023
1120230320co,Avda. Soria,co,Buena,0.3,20-03-2023,2023
120230320o3,El Picarral,o3,Buena,48.2,20-03-2023,2023
120230320as,El Picarral,as,Buena,0.9,20-03-2023,2023
120230320pm25,El Picarral,pm25,Buena,6.3,20-03-2023,2023
120230320pb,El Picarral,pb,Buena,0,20-03-2023,2023
220230320no2,Roger de Flor,no2,Buena,32,20-03-2023,2023
720230320pm10,Jaime Ferran,pm10,Buena,12.7,20-03-2023,2023
720230320o3,Jaime Ferran,o3,Razonablemente buena,52,20-03-2023,2023
820230320o3,Renovales,o3,Razonablemente buena,55.7,20-03-2023,2023
820230320nox,Renovales,nox,"",3.5,20-03-2023,2023
920230320no,Las Fuentes,no,"",42,20-03-2023,2023
1020230320co,Centro,co,Buena,0.3,20-03-2023,2023
1220230320pm10,Actur,pm10,Buena,14.8,20-03-2023,2023
1220230320no2,Actur,no2,Buena,25.2,20-03-2023,2023
1120230330pm10,Avda. Soria,pm10,Razonablemente buena,33.5,30-03-2023,2023
1120230330o3,Avda. Soria,o3,Razonablemente buena,59.9,30-03-2023,2023
120230330co,El Picarral,co,Buena,0.1,30-03-2023,2023
120230330no,El Picarral,no,"",23,30-03-2023,2023
220230330pm10,Roger de Flor,pm10,Razonablemente buena,29.3,30-03-2023,2023
220230330co,Roger de Flor,co,Buena,0.3,30-03-2023,2023
220230330o3,Roger de Flor,o3,Razonablemente buena,55.7,30-03-2023,2023
720230330no2,Jaime Ferran,no2,Buena,18.8,30-03-2023,2023
820230330no2,Renovales,no2,Buena,23.2,30-03-2023,2023
820230330nox,Renovales,nox,"",6.2,30-03-2023,2023
920230330so2,Las Fuentes,so2,Buena,3,30-03-2023,2023
920230330nox,Las Fuentes,nox,"",6.4,30-03-2023,2023
1020230330nox,Centro,nox,"",9.7,30-03-2023,2023
1020230330no,Centro,no,"",30.3,30-03-2023,2023
1220230330pm10,Actur,pm10,Razonablemente buena,26.6,30-03-2023,2023
1220230330no2,Actur,no2,Buena,23.9,30-03-2023,2023
1220230330nox,Actur,nox,"",4.8,30-03-2023,2023
1120230428no2,Avda. Soria,no2,Buena,30.2,28-04-2023,2023
120230428pm10,El Picarral,pm10,Razonablemente buena,34,28-04-2023,2023
120230428co,El Picarral,co,Buena,0.1,28-04-2023,2023
120230428sh2,El Picarral,sh2,Regular,39.6,28-04-2023,2023
220230428no2,Roger de Flor,no2,Buena,28.6,28-04-2023,2023
720230428nox,Jaime Ferran,nox,"",9.9,28-04-2023,2023
720230428no,Jaime Ferran,no,"",30.1,28-04-2023,2023
820230428pm10,Renovales,pm10,Razonablemente buena,33.6,28-04-2023,2023
820230428pm25,Renovales,pm25,Regular,20,28-04-2023,2023
920230428so2,Las Fuentes,so2,Buena,0.9,28-04-2023,2023
1120230130so2,Avda. Soria,so2,Buena,7.8,30-01-2023,2023
220230130so2,Roger de Flor,so2,Buena,6.7,30-01-2023,2023
720230130no,Jaime Ferran,no,"",16.8,30-01-2023,2023
820230130so2,Renovales,so2,Buena,5.9,30-01-2023,2023
820230130pm10,Renovales,pm10,Buena,15.6,30-01-2023,2023
820230130pm25,Renovales,pm25,Buena,7,30-01-2023,2023
820230130no,Renovales,no,"",30.5,30-01-2023,2023
920230130co,Las Fuentes,co,Buena,0.3,30-01-2023,2023
1120230210co,Avda. Soria,co,Buena,0.3,10-02-2023,2023
1120230210no,Avda. Soria,no,"",102.2,10-02-2023,2023
120230210pb,El Picarral,pb,Buena,0,10-02-2023,2023
220230210co,Roger de Flor,co,Buena,0.5,10-02-2023,2023
220230210o3,Roger de Flor,o3,Buena,18,10-02-2023,2023
820230210co,Renovales,co,Buena,0.4,10-02-2023,2023
1020230210no2,Centro,no2,Razonablemente buena,41.3,10-02-2023,2023
1020230210o3,Centro,o3,Buena,24.3,10-02-2023,2023
1220230210no,Actur,no,"",69.6,10-02-2023,2023
1120230211pm10,Avda. Soria,pm10,Razonablemente buena,25,11-02-2023,2023
1120230211o3,Avda. Soria,o3,Buena,33.9,11-02-2023,2023
1120230211nox,Avda. Soria,nox,"",17.5,11-02-2023,2023
120230211ni,El Picarral,ni,Buena,9,11-02-2023,2023
120230211pm25,El Picarral,pm25,Buena,11.6,11-02-2023,2023
720230211no2,Jaime Ferran,no2,Buena,11.3,11-02-2023,2023
720230211co,Jaime Ferran,co,Buena,0.2,11-02-2023,2023
920230211so2,Las Fuentes,so2,Buena,8.1,11-02-2023,2023
920230211no,Las Fuentes,no,"",51.9,11-02-2023,2023
1220230211no2,Actur,no2,Buena,25.8,11-02-2023,2023
1220230211no,Actur,no,"",34.5,11-02-2023,2023
1120230215so2,Avda. Soria,so2,Buena,11,15-02-2023,2023
120230215as,El Picarral,as,Buena,0.9,15-02-2023,2023
220230215no2,Roger de Flor,no2,Razonablemente buena,43.6,15-02-2023,2023
220230215no,Roger de Flor,no,"",93.7,15-02-2023,2023
720230215sh2,Jaime Ferran,sh2,Buena,3.8,15-02-2023,2023
1220230215o3,Actur,o3,Buena,29.4,15-02-2023,2023
1220230215no,Actur,no,"",70.1,15-02-2023,2023
1120230219nox,Avda. Soria,nox,"",23.7,19-02-2023,2023
120230219pm10,El Picarral,pm10,Regular,49,19-02-2023,2023
120230219o3,El Picarral,o3,Buena,36.1,19-02-2023,2023
120230219as,El Picarral,as,Buena,0.9,19-02-2023,2023
120230219no,El Picarral,no,"",31.1,19-02-2023,2023
720230219pm10,Jaime Ferran,pm10,Razonablemente buena,30.6,19-02-2023,2023
720230219o3,Jaime Ferran,o3,Buena,37,19-02-2023,2023
820230219no2,Renovales,no2,Buena,29.6,19-02-2023,2023
1020230219no2,Centro,no2,Buena,37.3,19-02-2023,2023
1220230219nox,Actur,nox,"",9.8,19-02-2023,2023
120230221no2,El Picarral,no2,Buena,27.4,21-02-2023,2023
120230221nox,El Picarral,nox,"",17.3,21-02-2023,2023
120230221pm25,El Picarral,pm25,Regular,22.8,21-02-2023,2023
720230221o3,Jaime Ferran,o3,Buena,25.5,21-02-2023,2023
820230221no2,Renovales,no2,Razonablemente buena,44.3,21-02-2023,2023
820230221pm25,Renovales,pm25,Desfavorable,26,21-02-2023,2023
1220230221pm10,Actur,pm10,Regular,40.2,21-02-2023,2023
1220230221o3,Actur,o3,Buena,32,21-02-2023,2023
1120230225pm10,Avda. Soria,pm10,Buena,17.3,25-02-2023,2023
120230225pm25,El Picarral,pm25,Buena,7.9,25-02-2023,2023
220230225o3,Roger de Flor,o3,Buena,40.9,25-02-2023,2023
720230225no2,Jaime Ferran,no2,Buena,18.4,25-02-2023,2023
720230225nox,Jaime Ferran,nox,"",11.1,25-02-2023,2023
820230225pm10,Renovales,pm10,Buena,14.7,25-02-2023,2023
820230225no2,Renovales,no2,Buena,19.4,25-02-2023,2023
920230225no,Las Fuentes,no,"",19.4,25-02-2023,2023
1020230225o3,Centro,o3,Buena,39.2,25-02-2023,2023
1120230226so2,Avda. Soria,so2,Buena,8.1,26-02-2023,2023
1120230226co,Avda. Soria,co,Buena,0.2,26-02-2023,2023
1120230226nox,Avda. Soria,nox,"",3.8,26-02-2023,2023
