id,title,contaminante,nivel,value,fecha,year
1020220216nox,Centro,nox,"",14.1,16-02-2022,2022
1020221221nox,Centro,nox,"",37.5,21-12-2022,2022
1020230330nox,Centro,nox,"",9.7,30-03-2023,2023
1020230226nox,Centro,nox,"",3.1,26-02-2023,2023
1020220921nox,Centro,nox,"",6.5,21-09-2022,2022
1020220923nox,Centro,nox,"",7.7,23-09-2022,2022
1020230131nox,Centro,nox,"",6.6,31-01-2023,2023
1020230207nox,Centro,nox,"",14.9,07-02-2023,2023
1020230319nox,Centro,nox,"",4.3,19-03-2023,2023
1020211117nox,Centro,nox,"",4.8,17-11-2021,2021
1020211119nox,Centro,nox,"",19.5,19-11-2021,2021
1020230312nox,Centro,nox,"",5.4,12-03-2023,2023
1020230318nox,Centro,nox,"",6.3,18-03-2023,2023
1020230125nox,Centro,nox,"",7.1,25-01-2023,2023
1020230425nox,Centro,nox,"",13.1,25-04-2023,2023
1020230530nox,Centro,nox,"",5.7,30-05-2023,2023
1020230601nox,Centro,nox,"",4.5,01-06-2023,2023
1020211129nox,Centro,nox,"",6.1,29-11-2021,2021
1020220117nox,Centro,nox,"",21.9,17-01-2022,2022
1020220331nox,Centro,nox,"",1.9,31-03-2022,2022
1020211007nox,Centro,nox,"",5.4,07-10-2021,2021
1020230517nox,Centro,nox,"",5.5,17-05-2023,2023
1020230519nox,Centro,nox,"",2.8,19-05-2023,2023
1020210723nox,Centro,nox,"",5.3,23-07-2021,2021
1020210713nox,Centro,nox,"",3.1,13-07-2021,2021
1020210720nox,Centro,nox,"",3.9,20-07-2021,2021
1020230612nox,Centro,nox,"",5.4,12-06-2023,2023
1020230620nox,Centro,nox,"",4.9,20-06-2023,2023
1020230718nox,Centro,nox,"",12.3,18-07-2023,2023
1020230725nox,Centro,nox,"",1.7,25-07-2023,2023
1020211110nox,Centro,nox,"",6.9,10-11-2021,2021
1020230602nox,Centro,nox,"",5.7,02-06-2023,2023
1020230605nox,Centro,nox,"",5.7,05-06-2023,2023
1020210708nox,Centro,nox,"",3.4,08-07-2021,2021
1020210729nox,Centro,nox,"",4.7,29-07-2021,2021
1020210717nox,Centro,nox,"",2.6,17-07-2021,2021
1020210706nox,Centro,nox,"",3.9,06-07-2021,2021
1020211010nox,Centro,nox,"",3.5,10-10-2021,2021
1020211011nox,Centro,nox,"",4.7,11-10-2021,2021
1020211105nox,Centro,nox,"",4.9,05-11-2021,2021
1020221026nox,Centro,nox,"",25.2,26-10-2022,2022
1020220418nox,Centro,nox,"",2.8,18-04-2022,2022
1020220507nox,Centro,nox,"",3.5,07-05-2022,2022
1020221125nox,Centro,nox,"",10.6,25-11-2022,2022
1020231103nox,Centro,nox,"",7,03-11-2023,2023
1020231114nox,Centro,nox,"",35.8,14-11-2023,2023
1020231201nox,Centro,nox,"",8.2,01-12-2023,2023
1020240124nox,Centro,nox,"",56,24-01-2024,2024
1020240129nox,Centro,nox,"",12,29-01-2024,2024
1020220826nox,Centro,nox,"",2.9,26-08-2022,2022
1020221118nox,Centro,nox,"",7.4,18-11-2022,2022
1020231117nox,Centro,nox,"",4.5,17-11-2023,2023
1020220318nox,Centro,nox,"",6,18-03-2022,2022
1020220327nox,Centro,nox,"",2,27-03-2022,2022
1020230217nox,Centro,nox,"",22.9,17-02-2023,2023
1020210506nox,Centro,nox,"",5.8,06-05-2021,2021
1020210225nox,Centro,nox,"",12.7,25-02-2021,2021
1020210504nox,Centro,nox,"",3.8,04-05-2021,2021
1020220629nox,Centro,nox,"",5.9,29-06-2022,2022
1020220929nox,Centro,nox,"",9.7,29-09-2022,2022
1020220223nox,Centro,nox,"",8.7,23-02-2022,2022
1020230309nox,Centro,nox,"",9.1,09-03-2023,2023
1020230316nox,Centro,nox,"",9.7,16-03-2023,2023
1020210505nox,Centro,nox,"",2.9,05-05-2021,2021
1020210509nox,Centro,nox,"",1.9,09-05-2021,2021
1020210205nox,Centro,nox,"",10.6,05-02-2021,2021
1020210423nox,Centro,nox,"",2.2,23-04-2021,2021
1020210316nox,Centro,nox,"",2.4,16-03-2021,2021
1020221214nox,Centro,nox,"",32.8,14-12-2022,2022
1020230409nox,Centro,nox,"",5.3,09-04-2023,2023
1020210426nox,Centro,nox,"",3.4,26-04-2021,2021
1020210314nox,Centro,nox,"",6,14-03-2021,2021
1020210528nox,Centro,nox,"",4.8,28-05-2021,2021
1020210311nox,Centro,nox,"",13,11-03-2021,2021
1020210618nox,Centro,nox,"",4.3,18-06-2021,2021
1020210420nox,Centro,nox,"",3.7,20-04-2021,2021
1020230205nox,Centro,nox,"",4.3,05-02-2023,2023
1020210620nox,Centro,nox,"",2.3,20-06-2021,2021
1020210331nox,Centro,nox,"",4,31-03-2021,2021
1020210418nox,Centro,nox,"",1.8,18-04-2021,2021
1020210312nox,Centro,nox,"",8.2,12-03-2021,2021
1020230512nox,Centro,nox,"",5.8,12-05-2023,2023
1020211022nox,Centro,nox,"",4.7,22-10-2021,2021
1020221013nox,Centro,nox,"",11.3,13-10-2022,2022
1020230112nox,Centro,nox,"",27.2,12-01-2023,2023
1020240304nox,Centro,nox,"",13.7,04-03-2024,2024
1020240307nox,Centro,nox,"",7.9,07-03-2024,2024
1020240317nox,Centro,nox,"",7.9,17-03-2024,2024
1020220316nox,Centro,nox,"",7.2,16-03-2022,2022
1020220411nox,Centro,nox,"",2.8,11-04-2022,2022
1020221110nox,Centro,nox,"",16.9,10-11-2022,2022
1020220710nox,Centro,nox,"",2.2,10-07-2022,2022
1020230509nox,Centro,nox,"",5.7,09-05-2023,2023
1020230903nox,Centro,nox,"",2.4,03-09-2023,2023
1020221113nox,Centro,nox,"",10.2,13-11-2022,2022
1020221114nox,Centro,nox,"",21.5,14-11-2022,2022
1020211215nox,Centro,nox,"",14.8,15-12-2021,2021
1020230412nox,Centro,nox,"",8.9,12-04-2023,2023
1020240227nox,Centro,nox,"",5.3,27-02-2024,2024
1020240303nox,Centro,nox,"",4.7,03-03-2024,2024
1020220122nox,Centro,nox,"",11.1,22-01-2022,2022
1020210118nox,Centro,nox,"",11.3,18-01-2021,2021
1020231212nox,Centro,nox,"",20.1,12-12-2023,2023
1020240228nox,Centro,nox,"",5.5,28-02-2024,2024
1020220112nox,Centro,nox,"",7.5,12-01-2022,2022
1020210104nox,Centro,nox,"",12.2,04-01-2021,2021
1020240119nox,Centro,nox,"",7.2,19-01-2024,2024
1020240128nox,Centro,nox,"",15.7,28-01-2024,2024
1020240309nox,Centro,nox,"",7,09-03-2024,2024
1020210108nox,Centro,nox,"",12.3,08-01-2021,2021
1020220603nox,Centro,nox,"",6.5,03-06-2022,2022
1020220605nox,Centro,nox,"",1.7,05-06-2022,2022
1020220620nox,Centro,nox,"",7.6,20-06-2022,2022
1020221005nox,Centro,nox,"",12.9,05-10-2022,2022
1020220624nox,Centro,nox,"",4.6,24-06-2022,2022
1020220627nox,Centro,nox,"",3.1,27-06-2022,2022
1020221207nox,Centro,nox,"",17.3,07-12-2022,2022
1020221229nox,Centro,nox,"",37.8,29-12-2022,2022
1020210213nox,Centro,nox,"",6,13-02-2021,2021
1020210815nox,Centro,nox,"",3.1,15-08-2021,2021
1020210305nox,Centro,nox,"",10.1,05-03-2021,2021
1020220614nox,Centro,nox,"",7.2,14-06-2022,2022
1020230110nox,Centro,nox,"",36.3,10-01-2023,2023
1020210215nox,Centro,nox,"",8.9,15-02-2021,2021
1020210319nox,Centro,nox,"",2.6,19-03-2021,2021
1020210226nox,Centro,nox,"",15.3,26-02-2021,2021
1020220728nox,Centro,nox,"",3.5,28-07-2022,2022
1020220815nox,Centro,nox,"",1.5,15-08-2022,2022
1020220819nox,Centro,nox,"",2.2,19-08-2022,2022
1020220824nox,Centro,nox,"",4.9,24-08-2022,2022
1020230114nox,Centro,nox,"",15.4,14-01-2023,2023
1020230123nox,Centro,nox,"",5.7,23-01-2023,2023
1020210318nox,Centro,nox,"",2.5,18-03-2021,2021
1020210812nox,Centro,nox,"",7.7,12-08-2021,2021
1020220915nox,Centro,nox,"",10.3,15-09-2022,2022
1020220916nox,Centro,nox,"",5.8,16-09-2022,2022
1020220924nox,Centro,nox,"",4.3,24-09-2022,2022
1020230606nox,Centro,nox,"",7.3,06-06-2023,2023
1020210508nox,Centro,nox,"",2.7,08-05-2021,2021
1020220421nox,Centro,nox,"",3.7,21-04-2022,2022
1020230629nox,Centro,nox,"",4.7,29-06-2023,2023
1020210525nox,Centro,nox,"",2.8,25-05-2021,2021
1020211023nox,Centro,nox,"",4.7,23-10-2021,2021
1020210819nox,Centro,nox,"",3.9,19-08-2021,2021
1020211217nox,Centro,nox,"",13.7,17-12-2021,2021
1020230719nox,Centro,nox,"",2.1,19-07-2023,2023
1020210531nox,Centro,nox,"",4.5,31-05-2021,2021
1020210516nox,Centro,nox,"",2,16-05-2021,2021
1020220107nox,Centro,nox,"",5.1,07-01-2022,2022
1020220414nox,Centro,nox,"",1.5,14-04-2022,2022
1020220511nox,Centro,nox,"",6.6,11-05-2022,2022
1020220606nox,Centro,nox,"",6.8,06-06-2022,2022
